10, 0.29677, 0.005
20, 0.06318, 0.005
30, 0.04343, 0.005
40, 0.03494, 0.005
50, 0.04684, 0.005
60, 0.03293, 0.005
70, 0.03985, 0.005
80, 0.02788, 0.005
90, 0.03082, 0.005
100, 0.03706, 0.005
110, 0.02991, 0.005
120, 0.02920, 0.005
130, 0.02711, 0.005
140, 0.02672, 0.005
150, 0.03534, 0.005
160, 0.03783, 0.005
170, 0.02998, 0.005
180, 0.02925, 0.005
190, 0.03220, 0.005
200, 0.03388, 0.005
210, 0.02585, 0.005
220, 0.02350, 0.005
230, 0.03081, 0.005
240, 0.02227, 0.005
250, 0.03682, 0.005
260, 0.02513, 0.005
270, 0.03430, 0.005
280, 0.01725, 0.005
290, 0.02704, 0.005
300, 0.02179, 0.005
310, 0.02140, 0.005
320, 0.02160, 0.005
330, 0.02132, 0.005
340, 0.02703, 0.005
350, 0.03100, 0.005
360, 0.02902, 0.005
370, 0.03566, 0.005
380, 0.02302, 0.005
390, 0.02675, 0.005
400, 0.02634, 0.005
410, 0.02323, 0.005
420, 0.03112, 0.005
430, 0.01911, 0.005
440, 0.03893, 0.005
450, 0.02133, 0.005
460, 0.03235, 0.005
470, 0.02543, 0.005
480, 0.02095, 0.005
490, 0.02597, 0.005
500, 0.01398, 0.005
510, 0.01936, 0.005
520, 0.02859, 0.005
530, 0.01701, 0.005
540, 0.02497, 0.005
550, 0.02025, 0.005
560, 0.03466, 0.005
570, 0.02968, 0.005
580, 0.01709, 0.005
590, 0.02597, 0.005
600, 0.02770, 0.005
610, 0.01827, 0.005
620, 0.01920, 0.005
630, 0.02003, 0.005
640, 0.01458, 0.005
650, 0.01897, 0.005
660, 0.02352, 0.005
670, 0.02042, 0.005
680, 0.01894, 0.005
690, 0.02217, 0.005
700, 0.02556, 0.005
710, 0.02053, 0.005
720, 0.02074, 0.005
730, 0.01989, 0.005
740, 0.02064, 0.005
750, 0.00994, 0.005
760, 0.02729, 0.005
770, 0.02455, 0.005
780, 0.01786, 0.005
790, 0.03758, 0.005
800, 0.01453, 0.005
810, 0.01794, 0.005
820, 0.01459, 0.005
830, 0.01798, 0.005
840, 0.01595, 0.005
850, 0.02064, 0.005
860, 0.02515, 0.005
870, 0.01665, 0.005
880, 0.02075, 0.005
890, 0.01973, 0.005
900, 0.02979, 0.005
